module,name,permission,anonymous user,authenticated user,administrator,publisher,editor,event creator,site manager,site admin
,Administer software updates,administer software updates,,,1,,,,,
,Administer actions,administer actions,,,1,,,,,
,Use the administration pages and help,access administration pages,,,1,,,,1,1
,Use the site in maintenance mode,access site in maintenance mode,,,1,,,,,
,View the administration theme,view the administration theme,,,1,1,1,,1,1
,View site reports,access site reports,,,1,,,,1,1
,Block IP addresses,block IP addresses,,,1,,,,,1
tablefield,,,,,,,,,,
,Export Tablefield Data as CSV,export tablefield,1,1,1,1,1,1,1,1
,Rebuild any tablefield,rebuild tablefield,,,1,1,1,,1,1
,Allow changes in the global tablefield module configuration,configure tablefield,,,1,,,,,
taxonomy,,,,,,,,,,
,Administer vocabularies and terms,administer taxonomy,,,1,,,,1,1
,Edit terms in Agency category,edit terms in agency_category,,,1,,,,1,1
,Delete terms from Agency category,delete terms in agency_category,,,1,,,,1,1
,Edit terms in Agency/Department,edit terms in nc_agency_department,,,1,,,,1,1
,Delete terms from Agency/Department,delete terms in nc_agency_department,,,1,,,,1,1
,Edit terms in Blog Category,edit terms in blog_category,,,1,,,,1,1
,Delete terms from Blog Category,delete terms in blog_category,,,1,,,,1,1
,Edit terms in Blog Terms,edit terms in blog_terms,,,1,,,,1,1
,Delete terms from Blog Terms,delete terms in blog_terms,,,1,,,,1,1
,Edit terms in Card Keywords,edit terms in card_keywords,,,1,,,,1,1
,Delete terms from Card Keywords,delete terms in card_keywords,,,1,,,,1,1
,Edit terms in Division,edit terms in nc_agency_department,,,1,,,,1,1
,Delete terms from Division,delete terms in nc_agency_department,,,1,,,,1,1
,Edit terms in Document Collection,edit terms in document_collection,,,1,,,,1,1
,Delete terms from Document Collection,delete terms in document_collection,,,1,,,,1,1
,Edit terms in Document Terms,edit terms in document_terms,,,1,,,,1,1
,Delete terms from Document Terms,delete terms in document_terms,,,1,,,,1,1
,Edit terms in DPS Divisions,edit terms in dps_divisions,,,1,,,,1,1
,Delete terms from DPS Divisions,delete terms in dps_divisions,,,1,,,,1,
,Edit terms in Event Organizer,edit terms in event_organizer,,,1,,,,1,1
,Delete terms from Event Organizer,delete terms in event_organizer,,,1,,,,1,1
,Edit terms in Event Terms,edit terms in event_terms,,,1,,,,1,1
,Delete terms from Event Terms,delete terms in event_terms,,,1,,,,1,1
,Edit terms in Event Type,edit terms in event_type,,,1,,,,1,1
,Delete terms from Event Type,delete terms in event_type,,,1,,,,1,1
,Edit terms in Key Search Topics,edit terms in key_search_topics,,,1,,,,1,1
,Delete terms from Key Search Topics,delete terms in key_search_topics,,,1,,,,1,1
,Edit terms in North Carolina Counties,edit terms in nc_counties,,,1,,,,1,1
,Delete terms from North Carolina Counties,delete terms in nc_counties,,,1,,,,1,1
,Edit terms in Press Release Terms,edit terms in press_release_terms,,,1,,,,1,1
,Delete terms from Press Release Terms,delete terms in press_release_terms,,,1,,,,1,1
,Edit terms in Service category,edit terms in service_category,,,1,,,,1,1
,Delete terms from Service category,delete terms in service_category,,,1,,,,1,1
,Edit terms in Video Terms,edit terms in video_terms,,,1,,,,1,1
,Delete terms from Video Terms,delete terms in video_terms,,,1,,,,1,1
toolbar,,,,,,,,,,
,Use the administration toolbar,access toolbar,,,1,1,1,1,1,1
translation,,,,,,,,,,
,Translate content,translate content,,,1,1,1,,1,1
twitter,,,,,,,,,,
,Administer Twitter configuration,administer twitter,,,1,,,,,
,Add Twitter accounts,add twitter accounts,,,1,,,,1,1
